site,pillar,indicator,raw_value,bg_median,anomaly,bg_std,bg_std_spatial,bg_std_temporal,z,score,confidence,qa,n_valid,anomaly_strength,spatial_context,extra_note
Ganzhou rare-earth processing,air,air.pm10,,,,,,,,,,,,,,
Ganzhou rare-earth processing,air,air.o3,289.67640778296055,289.4291693832429,0.24723839971767347,14.304870630809551,0.4510108817705506,14.304870630809551,0.017283511756141033,0.005761170585380344,0.705,0.85,1.0,0.0,1.0,
Ganzhou rare-earth processing,air,air.aai,-0.18610918827234196,-0.2646411433350765,0.07853195506273453,0.49279735199866154,0.04814229873394103,0.4927973519986616,0.15935953134534664,0.053119843781782215,0.7308620689655172,0.85,1.0,0.10344827586206896,1.0,
Ganzhou rare-earth processing,air,air.aod,391.8364223112063,276.77357302140587,115.06284928980045,168.37930454419808,73.59554664270814,168.37930454419808,0.6833550572101186,0.2277850190700395,0.7665811965811966,0.9,0.9629629629629629,0.23076923076923078,1.0,
Ganzhou rare-earth processing,ghg,ghg.ch4,1936.6529622010669,1928.0991901547475,8.55377204631941,11.763265188278593,12.026977891307506,11.763265188278593,0.7271596711806466,0.24238655706021556,0.29019709415285605,0.85,0.14814814814814814,0.0,0.4220128216441705,context — not scored (M-CH4-A1 reference)
Ganzhou rare-earth processing,ghg,ghg.co2,22453.17341984511,,,,,,,0.8837541381248689,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=7.651633116362983 (cap 10), total_tCO2yr=1940042.235135087"
Ganzhou rare-earth processing,ghg,ghg.viirs,36.73477074980986,,,,,,,0.12450442356893154,0.7061261058922329,0.85,0.9,0.12450442356893154,1.0,"flaring_frac=0.012450442356893155, lit_contrast_pct=0.9856754100056905, state=high"
"CATL battery plant, Ningde",air,air.no2,105.32240401417567,95.78036027618329,9.542043737992387,28.299386502538493,12.571688858811875,28.299386502538493,0.33718199993969666,0.11239399997989889,0.6903333333333335,0.9,1.0,0.02666666666666667,1.0,
"CATL battery plant, Ningde",air,air.so2,-10.65377954790326,35.032754220830704,-45.686533768733966,321.8674115319513,74.23975547176553,321.8674115319513,-0.14194209209091904,0.0,0.594,0.75,1.0,0.0,1.0,
"CATL battery plant, Ningde",air,air.co,48.139951089038675,46.42050614154265,1.7194449474960223,6.744662847260953,4.937228797820715,6.744662847260953,0.25493415852421725,0.08497805284140576,0.5906666666666667,0.85,1.0,0.13333333333333333,1.0,
"CATL battery plant, Ningde",air,air.hcho,145.168287693315,134.5347580363472,10.633529656967795,70.45303728966864,22.146228497712272,70.45303728966864,0.15093074856727454,0.05031024952242485,0.7021363636363636,0.85,1.0,0.13636363636363635,1.0,
"CATL battery plant, Ningde",air,air.pm25,,,,,,,,,,,,,,
"CATL battery plant, Ningde",air,air.pm10,,,,,,,,,,,,,,
"CATL battery plant, Ningde",air,air.o3,292.42109615899216,291.72757000051234,0.6935261584798127,15.258705184743494,0.8744681678060992,15.258705184743492,0.04545118016784536,0.015150393389281789,0.7108139534883721,0.85,1.0,0.023255813953488372,1.0,
"CATL battery plant, Ningde",air,air.aai,-0.1307356552732495,-0.278565494523602,0.1478298392503525,0.49783502466338575,0.052624965381269866,0.49783502466338575,0.29694543759814523,0.09898181253271508,0.7282558139534884,0.85,1.0,0.09302325581395349,1.0,
"CATL battery plant, Ningde",air,air.aod,340.2200680867934,265.88974283479934,74.33032525199405,96.48928954233634,52.604484685234645,96.48928954233634,0.770347938144786,0.256782646048262,0.7825000000000001,0.9,1.0,0.25,1.0,
"CATL battery plant, Ningde",ghg,ghg.ch4,1919.612849760266,1914.3060161814853,5.306833578780697,17.327811783805128,20.78119737450806,17.327811783805128,0.3062610354378708,0.1020870118126236,0.3507526497084116,0.85,0.2962962962962963,0.125,0.4220128216441705,context — not scored (M-CH4-A1 reference)
"CATL battery plant, Ningde",ghg,ghg.co2,9606.426932856475,,,,,,,0.1360855101045385,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=1.367998150107987 (cap 10), total_tCO2yr=835608.4541085861"
"CATL battery plant, Ningde",ghg,ghg.viirs,29.470684816046965,,,,,,,0.29668411867364736,0.7491710296684119,0.85,0.9,0.29668411867364736,1.0,"flaring_frac=0.029668411867364738, lit_contrast_pct=0.9654390837198769, state=high"
"Tongwei/LONGi polysilicon, Leshan",air,air.no2,108.08033889828829,104.30068237113123,3.7796565271570586,42.33132749306139,5.136455607040188,42.33132749306139,0.08928745567397077,0.029762485224656923,0.6946343283582089,0.9,1.0,0.04477611940298507,1.0,
"Tongwei/LONGi polysilicon, Leshan",air,air.so2,22.355004912025567,77.01697781539941,-54.66197290337385,204.98935343229925,67.39098709667164,204.98935343229925,-0.2666576189842307,0.0,0.6018571428571428,0.75,1.0,0.03571428571428571,1.0,
"Tongwei/LONGi polysilicon, Leshan",air,air.co,42.34390112043001,41.39232573934155,0.9515753810884604,5.837309029974637,0.8558548034058244,5.837309029974637,0.16301610488704843,0.05433870162901614,0.5697142857142857,0.85,1.0,0.02857142857142857,1.0,
